	Habitat	Landscape	average_Temp_DL	MAP	MAT
6026_3_A	arable	agriculture	17.77937196	629.1	9.499722222
6026_3_G	grassland	agriculture	17.29188535	675.4666667	9.240555556
6027_3_A	arable	agriculture	18.35837769	576.6333333	9.861111111
6027_3_F	forest	agriculture	17.9318484	599.7666667	9.739166667
6027_3_U	settlement	agriculture	18.08201072	549.8333333	9.818888889
6029_3_A	arable	near-natural	17.36538588	771.4333333	8.720277778
6029_3_F	forest	near-natural	17.46526479	734.7	8.920277778
6029_3_G	grassland	near-natural	16.5069787	771.4333333	8.720277778
6031_4_F	forest	urban	17.20929626	673.5	9.509444444
6031_4_G	grassland	urban	17.46843245	670.4666667	9.546111111
6031_4_U	settlement	urban	17.7990373	670.4666667	9.546111111
6032_4_A	arable	agriculture	16.40793187	925.2666667	8.181666667
6032_4_F	forest	agriculture	16.43604566	853.7	8.555
6032_4_G	grassland	agriculture	17.16709152	919.8666667	8.265
6034_2_A	arable	near-natural	16.7202145	777.7	8.4475
6034_2_F	forest	near-natural	16.69055873	731.2	8.681388889
6034_2_G	grassland	near-natural	16.56460814	804.7333333	8.357222222
6035_2_A	arable	urban	17.1510309	762.9666667	8.883611111
6035_2_G	grassland	urban	16.83550731	805.6333333	8.686666667
6035_2_U	settlement	urban	18.75684763	773.6333333	8.778333333
6035_3_A	arable	urban	16.58226696	796.4666667	8.546944444
6035_3_F	forest	urban	17.33644153	737.1333333	8.846944444
6035_3_U	settlement	urban	17.30369157	731.6333333	8.929722222
6122_4_A	arable	near-natural	16.73101885	850.6333333	9.173333333
6122_4_F	forest	near-natural	16.7250272	790.3666667	9.6025
6122_4_G	grassland	near-natural	17.34427857	898.2666667	8.843055556
6123_1_A	arable	near-natural	17.10363185	813.6333333	9.407777778
6123_1_F	forest	near-natural	15.42686175	813.6333333	9.407777778
6123_1_G	grassland	near-natural	17.37484526	868.1333333	9.095555556
6125_2_A	arable	near-natural	17.70811812	705.8666667	9.294722222
6125_2_F	forest	near-natural	15.93844208	690.4	9.45
6125_2_U	settlement	near-natural	17.94843723	625.2666667	9.92
6131_1_A	arable	urban	17.98930758	678.7	9.416666667
6131_1_F	forest	urban	16.80724573	683.8333333	9.4325
6131_1_U	settlement	urban	20.38709776	702.4666667	9.279166667
6137_4_A	arable	near-natural	18.17722275	833.8333333	7.903333333
6137_4_F	forest	near-natural	16.6150075	803.9666667	8.087222222
6137_4_G	grassland	near-natural	17.9901492	780.0666667	8.173611111
6224_2_A	arable	agriculture	16.04010748	636.7	9.95
6224_2_F	forest	agriculture	16.05006013	699.6333333	9.531388889
6224_2_U	settlement	agriculture	18.22121118	648.5	9.671111111
6225_2_A	arable	urban	17.58114935	565	10.23277778
6225_2_F	forest	urban	17.99781099	624.6	10.18055556
6225_2_U	settlement	urban	17.8306923	608.8	10.30861111
6231_4_A	arable	near-natural	18.35508532	663.6333333	9.685833333
6231_4_F	forest	near-natural	16.82085321	691.8	9.575555556
6231_4_G	grassland	near-natural	18.46311026	718.3666667	9.578055556
6234_2_A	arable	near-natural	16.62173383	875.5666667	8.710833333
6234_2_F	forest	near-natural	15.81366267	921.2	8.339166667
6234_2_G	grassland	near-natural	15.8116945	941.8	8.420277778
6327_2_A	arable	agriculture	17.86496264	624.8333333	9.739166667
6327_2_G	grassland	agriculture	17.03678245	641.6666667	9.568611111
6327_2_U	settlement	agriculture	17.14189597	615.5	9.763611111
6532_3_A	arable	urban	17.78894757	646.9	9.428888889
6532_3_F	forest	urban	16.95126983	608.8333333	9.659166667
6532_3_U	settlement	urban	18.42453511	616.7	9.5925
6533_4_F	forest	near-natural	16.64810616	820.1666667	8.924444444
6533_4_G	grassland	near-natural	17.38350003	828.5666667	9.065
6533_4_U	settlement	near-natural	16.80531713	814.6666667	8.936111111
6836_3_A	arable	agriculture	16.52995985	826.9666667	8.335833333
6836_3_F	forest	agriculture	15.75974054	837.6666667	8.273611111
6836_3_G	grassland	agriculture	16.31510366	827.2	8.301111111
6934_1_A	arable	agriculture	NA	834.1	8.583611111
6934_1_F	forest	agriculture	16.21524795	690.7333333	9.151111111
6934_1_G	grassland	agriculture	17.30474156	794.6666667	8.728055556
6938_4_A	arable	urban	17.60141208	653.9666667	9.454444444
6938_4_G	grassland	urban	18.19700276	680.3	9.281666667
6938_4_U	settlement	urban	18.11480055	699.9666667	9.3825
6945_2_G	grassland	near-natural	15.64659291	1153.3	7.490277778
6945_2_N	forest	near-natural	15.8481772	1349.033333	6.330277778
7036_4_A	arable	near-natural	16.7902244	758.5	8.981944444
7036_4_F	forest	near-natural	16.39798003	773.6	8.923611111
7036_4_G	grassland	near-natural	15.84360035	758.3666667	8.984166667
7143_4_F	grassland	urban	18.04211848	960.3	8.765
7143_4_G	grassland	urban	18.84136752	905.6	9.134444444
7143_4_U	settlement	urban	19.50321965	949	8.939166667
7147_1_F	forest	near-natural	14.31736411	1195.666667	6.983888889
7147_1_G	grassland	near-natural	14.80240647	1088.4	7.415277778
7147_1_N	forest	near-natural	NA	1181.066667	7.083611111
7246_1_A	arable	near-natural	16.8802299	1001.566667	8.477222222
7246_1_F	forest	near-natural	16.09786753	1085.5	7.988888889
7246_1_G	grassland	near-natural	16.21607311	1058.3	8.223888889
7332_3_A	arable	agriculture	16.61395956	746	9.052777778
7332_3_F	forest	agriculture	16.09926411	774.4	8.961111111
7332_3_G	grassland	agriculture	16.64126744	739.5666667	9.061111111
7437_1_A	arable	agriculture	17.29733668	847.0666667	8.857222222
7437_1_F	forest	agriculture	16.25896072	852.6333333	8.845555556
7437_1_G	grassland	agriculture	17.18765169	859.8	8.795555556
7446_1_F	forest	urban	16.82530759	885.9	9.130555556
7446_1_G	grassland	urban	17.63359933	879.5666667	9.313611111
7446_1_U	settlement	urban	16.85813086	850.2	9.646666667
7544_2_A	arable	agriculture	17.10830313	856.8	9.042777778
7544_2_F	forest	agriculture	17.26002253	850.8	9.0625
7544_2_G	grassland	agriculture	17.27826244	866.2666667	9.006388889
7545_2_A	arable	agriculture	NA	832.3666667	9.351111111
7545_2_F	forest	agriculture	16.76551439	846.5	9.320833333
7545_2_U	settlement	agriculture	17.77690374	834.4	9.409444444
7546_3_A	arable	agriculture	17.94295239	778.1333333	9.576944444
7546_3_G	grassland	agriculture	18.11705222	784.3	9.565833333
7546_3_U	settlement	agriculture	18.10127861	783.9333333	9.562222222
7730_2_A	arable	urban	16.74935665	935.7666667	8.688055556
7730_2_F	forest	urban	16.40199993	943.1	8.679444444
7730_2_U	settlement	urban	18.38936801	885	8.8975
7835_1_F	forest	urban	16.66808462	945.7666667	9.789722222
7835_1_G	grassland	urban	16.9690886	942.2333333	9.816944444
7835_1_U	settlement	urban	17.54252413	957.9666667	9.894166667
7837_4_A	arable	near-natural	16.47359091	1040.533333	8.849166667
7837_4_F	forest	near-natural	15.51500581	1022.833333	8.914722222
7837_4_U	settlement	near-natural	16.35736977	1073.6	8.765277778
7935_2_A	arable	urban	17.23342282	1050.966667	9.013333333
7935_2_F	forest	urban	15.3376784	1024.066667	9.296666667
7935_2_U	settlement	urban	16.68443121	1045.133333	9.053055556
8030_1_F	forest	agriculture	17.72937287	1024.8	8.385833333
8030_1_G	grassland	agriculture	15.8229635	1011.4	8.468611111
8130_2_A	arable	near-natural	15.0664841	1097.366667	8.193611111
8130_2_F	forest	near-natural	14.30396276	1161.333333	7.925
8130_2_G	grassland	near-natural	15.01462471	1189.666667	7.878333333
8131_3_F	forest	urban	14.92362298	1143.2	8.255833333
8131_3_G	grassland	urban	15.83535936	1143.2	8.255833333
8131_3_U	settlement	urban	16.78162615	1123.466667	8.301666667
8141_2_F	forest	urban	17.94639919	1369.566667	8.756666667
8141_2_G	grassland	urban	19.35235716	1420.4	8.794722222
8141_2_U	settlement	urban	19.5367296	1467.5	8.951388889
8229_2_G	grassland	urban	15.98532795	1200.2	7.9375
8229_2_U	settlement	urban	15.8960548	1225.133333	7.849722222
8235_1_F	forest	urban	15.29795556	1452.333333	8.331388889
8235_1_G	grassland	urban	15.76956455	1452.333333	8.331388889
8235_1_U	settlement	urban	NA	1532.633333	8.067222222
8240_2_F	forest	urban	18.6508191	1801	7.080833333
8240_2_G	grassland	urban	19.57803329	1525.4	8.473333333
8240_2_U	settlement	urban	19.3115403	1537.933333	8.349722222
8243_1_F	forest	near-natural	17.11923555	1961.433333	6.776944444
8243_1_G	grassland	near-natural	19.51551129	1370.866667	9.148611111
8243_1_U	settlement	near-natural	20.23180167	1292.6	9.150277778
8343_4_F	forest	near-natural	19.01980715	1752.933333	7.549722222
8343_4_G	grassland	near-natural	18.44295548	1556.2	8.644722222
